48.799999,-40.000000,Unknown
46.634998,-53.211113,Natural
40.689445,-74.044724,Cultural
45.709721,-64.435837,Natural
39.948612,-75.150002,Cultural
48.105000,-66.353058,Natural
38.032776,-78.503891,Cultural
20.450001,-75.000000,Natural
19.573610,-72.244171,Cultural
18.077499,-76.571114,Mixed
19.883329,-77.633331,Natural
18.483334,-69.916664,Cultural
15.266666,-61.283333,Natural
17.006945,-61.761665,Cultural
13.807083,-61.070362,Natural
13.096666,-59.613888,Cultural
5.333330,-61.500000,Natural
5.826110,-55.150002,Cultural
-2.333333,-62.008335,Natural
10.490730,-66.890678,Cultural
7.666667,-77.000000,Natural
8.951111,-79.540558,Cultural
9.407084,-82.938805,Natural
9.553889,-79.655830,Cultural
3.966667,-81.616669,Natural
-0.003889,-78.500000,Cultural
5.471667,-75.681664,Cultural
48.799999,-40.000000,Unknown
